,date_published,authors,journal_title,article_title,all_num_citations_crossref,all_num_references_crossref
0,"[2019, 3]","['Huda, Saif', 'Whittam, Dan', 'Bhojak, Maneesh', 'Chamberlain, Jayne', 'Noonan, Carmel', 'Jacob, Anu', 'Kneen, Rachel']",Clinical Medicine,Neuromyelitis optica spectrum disorders,83,60
1,"[2019, 1, 4]","['Mann, N.', 'King, T.', 'Murphy, R.']",Clinical and Experimental Dermatology,Review of primary and secondary erythromelalgia,24,29
2,"[2019, 2]","['Lovgren, Marie-Louise', 'Scarisbrick, Julia J.']",Chinese Clinical Oncology,Update on skin directed therapies in mycosis fungoides,15,0
3,"[2019, 3]","['Das, Suparna', 'Mitchell, Patrick', 'Ross, Nicholas', 'Whitfield, Peter C.']",World Neurosurgery,Decompressive Hemicraniectomy in the Treatment of Malignant Middle Cerebral Artery Infarction: A Meta-Analysis,28,40
4,"[2019, 1, 18]","['Ahmad, Gaity', 'Baker, Jade', 'Finnerty, John', 'Phillips, Kevin', 'Watson, Andrew']",Cochrane Database of Systematic Reviews,Laparoscopic entry techniques,20,125
5,"[2018, 9, 21]","['Al-Lamee, Rasha K', 'Nowbar, Alexandra N', 'Francis, Darrel P']",Heart,Percutaneous coronary intervention for stable coronary artery disease,19,48
6,"[2019, 3, 19]","['Sinclair, Diarmid JM', 'Zhao, Sai', 'Qi, Fang', 'Nyakyoma, Kazare', 'Kwong, Joey SW', 'Adams, Clive E']",Cochrane Database of Systematic Reviews,Electroconvulsive therapy for treatment-resistant schizophrenia,10,159
7,"[2018, 12, 20]","['Larner, AJ']",Journal of Medical Biography,Editorial,0,6
8,"[2019, 1]","['Brierley, Charlotte K', 'Pavord, Sue']",Clinical Medicine,Response,0,0
9,"[2019, 3]","['Gruffydd-Jones, Kevin']",Therapeutics and Clinical Risk Management,&lt;p&gt;Unmet needs in asthma&lt;/p&gt;,13,0
10,"[2019, 3, 7]","['Larner, AJ']",Journal of Medical Biography,Editorial,0,7
11,"[2019, 1]","['Carrick, M.A.', 'Robson, J.M.', 'Thomas, C.']",BJA Education,Smoking and anaesthesia,3,25
12,"[2019, 1]","['Charlton, M.', 'Thompson, J.P.']",BJA Education,Pharmacokinetics in sepsis,14,27
13,[2019],"['Jawad, Ali S M']",Journal of the Royal College of Physicians of Edinburgh,Notalgia paraesthetica,0,0
14,"[2019, 4]","['Chakravartty, Saurav']",Surgery for Obesity and Related Diseases,Author’s Response,0,4
15,"[2019, 2, 27]","['Cunningham, C.']",Colorectal Disease,Transanal excision,1,8
16,"[2019, 1, 31]","['McGuinness, John']",British Journal of General Practice,Prescribing parkrun,0,1
17,"[2019, 1]","['Shipman, Kate E', 'Ramalingam, Satheesh K', 'Dawson, Charlotte H', 'Yasear, Zhainab A']",Clinical Medicine,Subarachnoid haemorrhage,0,3
18,"[2019, 3]","['Dixon, S', 'Horgan, LF']",The Annals of The Royal College of Surgeons of England,The elusive spleen,0,5
19,"[2019, 1, 22]","['Bailey, Cate']",BJPsych Bulletin,Praxis makes perfect?,0,12
20,"[2019, 2, 21]","['Dinani, N.', 'George, S.']",Clinical and Experimental Dermatology,Nail cosmetics: a dermatological perspective,6,30
21,"[2019, 7, 9]","['Seward, Edward']",F1000Research,Recent advances in colonoscopy,0,31
22,"[2019, 5, 27]","['Monib, Sherif', 'Mahapatra, Piyush', 'Fayez, Hany']",European Journal of Case Reports in Internal Medicine,Intrahepatic Gallbladder,1,0
23,"[2019, 1, 25]","['Aslam, Tariq']",Ophthalmology and Therapy,Ophthalmology and Therapy: Looking Back at 2018 and Forward to 2019,0,0
24,"[2019, 1, 7]","['Jha, S.']",Climacteric,Maintaining sexual function after pelvic floor surgery,4,54
25,"[2019, 1]","['Everett, Simon M.']",Therapeutic Advances in Gastrointestinal Endoscopy,Endoscopic management of refractory benign oesophageal strictures,4,63
26,"[2019, 11, 20]","['Abushaala, Abdulaziz', 'Stavrakas, Marios', 'Khalil, Hisham']",Case Reports in Otolaryngology,Microdebrider-Assisted Rhinophyma Excision,1,40
27,"[2019, 3]","['Gul, Ambreen', 'Sheikh, Muhammad Asad', 'Rao, Atif']",BMJ Case Reports,Runaway pacemaker,0,3
28,"[2019, 12, 18]","['Turkes, Fiona', 'Carmichael, Juliet', 'Cunningham, David', 'Starling, Naureen']",Gastroenterology Research and Practice,Contemporary Tailored Oncology Treatment of Biliary Tract Cancers,2,83
29,"[2019, 7, 16]","['Alsadik, Shahad', 'Yusuf, Siraj', 'AL-Nahhas, Adil']",Current Radiopharmaceuticals,Peptide Receptor Radionuclide Therapy for Pancreatic Neuroendocrine Tumours,12,56
30,"[2019, 1, 8]","['Cassidy, Tom', 'Watson, Laura', 'NaN, NaN', 'NaN, NaN']",BMJ,Interviews with paediatricians,0,0
31,"[2019, 3]","['Chowdhury, R.', 'Lobaz, S.']",BJA Education,Nutrition in critical care,0,19
32,"[2019, 3]","['Cullis, Jonathan']",Clinical Medicine,Haematology: Multiple Myeloma,0,3
33,"[2019, 3, 14]","['McLoughlin, Liam']",Journal of Medical Biography,Churchill’s fractured neck of femur,0,0
34,"[2019, 2]","['Bedi, Nishant', 'Rahimi, Muhammad Naim Che', 'Menzies, Sarah', 'Kalsi, Jas']",BMJ Case Reports,Atypical testicular pain,3,10
35,"[2019, 1, 24]","['Woodley, Marie']",British Journal of Nursing,Procurement of IV products,0,5
36,"[2019, 8, 20]","['Sephton, B. M.']",Minimally Invasive Surgery,Extracervical Approaches to Thyroid Surgery: Evolution and Review,3,109
37,"[2019, 6]","['Dayer, Mark Jeremy', 'Green, Ian']",BMJ Open Sport &amp; Exercise Medicine,Mortality during marathons: a narrative review of the literature,5,0
38,"[2020, 1, 17]","['Griffin, Benjamin', 'Saunders, Kate E. A.']",Frontiers in Psychiatry,Smartphones and Wearables as a Method for Understanding Symptom Mechanisms,7,28
39,"[2019, 3]","['Turkes, Fiona', 'Chau, Ian']",Future Oncology,Ramucirumab and its use in the treatment of hepatocellular carcinoma,4,47
40,"[2019, 7]","['Page, Rupert A.']",Epilepsy Research,Technology-enabled seizure detection and reporting: The epilepsy network project,4,1
41,"[2019, 2, 12]","['Anderson, John', 'Lockett, Melanie']",Frontline Gastroenterology,Training in therapeutic endoscopy: meeting present and future challenges,4,21
