PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31828535","Juvenile Dermatomyositis-Clinical Phenotypes","Li D, Tansley SL.","Curr Rheumatol Rep. 2019 Dec 11;21(12):74. doi: 10.1007/s11926-019-0871-4.","Li D","Curr Rheumatol Rep","2019","2019/12/13","PMC6906215","","10.1007/s11926-019-0871-4"
"31654000","Hypomineralisation or hypoplasia?","Patel A, Aghababaie S, Parekh S.","Br Dent J. 2019 Oct;227(8):683-686. doi: 10.1038/s41415-019-0782-9.","Patel A","Br Dent J","2019","2019/10/27","","","10.1038/s41415-019-0782-9"
"32884632","Refeeding syndrome : physiological background and practical management","De Silva A, Nightingale JMD.","Frontline Gastroenterol. 2019 Dec 30;11(5):404-409. doi: 10.1136/flgastro-2018-101065. eCollection 2020.","De Silva A","Frontline Gastroenterol","2019","2020/09/05","PMC7447285","","10.1136/flgastro-2018-101065"
"31670644","Imaging tests for the detection of osteomyelitis: a systematic review","Llewellyn A, Jones-Diette J, Kraft J, Holton C, Harden M, Simmonds M.","Health Technol Assess. 2019 Oct;23(61):1-128. doi: 10.3310/hta23610.","Llewellyn A","Health Technol Assess","2019","2019/11/01","PMC6843114","","10.3310/hta23610"
"31853597","Posterior tibial nerve stimulation for overactive bladder-techniques and efficacy","Bhide AA, Tailor V, Fernando R, Khullar V, Digesu GA.","Int Urogynecol J. 2020 May;31(5):865-870. doi: 10.1007/s00192-019-04186-3. Epub 2019 Dec 18.","Bhide AA","Int Urogynecol J","2020","2019/12/20","PMC7210232","","10.1007/s00192-019-04186-3"
"33907622","Venting issues","Sharma N, Cooney R, Cooper SC.","Frontline Gastroenterol. 2019 Oct 14;12(3):259-260. doi: 10.1136/flgastro-2019-101273. eCollection 2021.","Sharma N","Frontline Gastroenterol","2019","2021/04/28","PMC8040504","","10.1136/flgastro-2019-101273"
"31529734","In Reply","Oliver G, Reynard C, Morris N, Body R.","Acad Emerg Med. 2020 Jan;27(1):85-86. doi: 10.1111/acem.13858. Epub 2019 Nov 6.","Oliver G","Acad Emerg Med","2020","2019/09/19","","","10.1111/acem.13858"
"31582794","ROP in Asia","Adams GGW.","Eye (Lond). 2020 Apr;34(4):607-608. doi: 10.1038/s41433-019-0620-y. Epub 2019 Oct 3.","Adams GGW","Eye (Lond)","2020","2019/10/05","PMC7265387","","10.1038/s41433-019-0620-y"
"31618146","Editorial Comment","Birch BRP.","J Urol. 2020 Jan;203(1):106. doi: 10.1097/01.JU.0000604044.60174.86. Epub 2019 Oct 16.","Birch BRP","J Urol","2020","2019/10/17","","","10.1097/01.JU.0000604044.60174.86"
"30845869","Editorial","Larner AJ.","J Med Biogr. 2019 Nov;27(4):185. doi: 10.1177/0967772019837119. Epub 2019 Mar 7.","Larner AJ","J Med Biogr","2019","2019/03/09","","","10.1177/0967772019837119"
"31754464","Culture-negative periprosthetic joint infections","Palan J, Nolan C, Sarantos K, Westerman R, King R, Foguet P.","EFORT Open Rev. 2019 Oct 7;4(10):585-594. doi: 10.1302/2058-5241.4.180067. eCollection 2019 Oct.","Palan J","EFORT Open Rev","2019","2019/11/23","PMC6836077","","10.1302/2058-5241.4.180067"
"31836633","Accommodation outcomes for children of drug-misusing women","Mitchell J, Mactier H.","Arch Dis Child. 2021 Jan;106(1):80-82. doi: 10.1136/archdischild-2018-316440. Epub 2019 Dec 13.","Mitchell J","Arch Dis Child","2021","2019/12/15","","","10.1136/archdischild-2018-316440"
"33456857","Paediatric respiratory distress","Challands J, Brooks K.","BJA Educ. 2019 Nov;19(11):350-356. doi: 10.1016/j.bjae.2019.07.004. Epub 2019 Oct 14.","Challands J","BJA Educ","2019","2021/01/18","PMC7807856","","10.1016/j.bjae.2019.07.004"
"31636779","Questionable Conclusions?","Perry R, Makins R.","Gastroenterology Res. 2019 Oct;12(5):271-273. doi: 10.14740/gr1181. Epub 2019 Oct 4.","Perry R","Gastroenterology Res","2019","2019/10/23","PMC6785283","","10.14740/gr1181"
"31732606","Post-transplant diabetes","Duffy S, Sayer J.","Clin Med (Lond). 2019 Nov;19(6):535-536. doi: 10.7861/clinmed.Let-19-6-1a.","Duffy S","Clin Med (Lond)","2019","2019/11/17","PMC6899229","","10.7861/clinmed.Let-19-6-1a"
"31558522","High results","Caroe TD.","Br J Gen Pract. 2019 Sep 26;69(687):490. doi: 10.3399/bjgp19X705737. Print 2019 Oct.","Caroe TD","Br J Gen Pract","2019","2019/09/28","PMC6774689","","10.3399/bjgp19X705737"
"31558516","Consultation length","Caroe TD.","Br J Gen Pract. 2019 Sep 26;69(687):488. doi: 10.3399/bjgp19X705665. Print 2019 Oct.","Caroe TD","Br J Gen Pract","2019","2019/09/28","PMC6774700","","10.3399/bjgp19X705665"
"31558528","Young carers","Gibson J, Colton F, Sanderson C.","Br J Gen Pract. 2019 Sep 26;69(687):504. doi: 10.3399/bjgp19X705809. Print 2019 Oct.","Gibson J","Br J Gen Pract","2019","2019/09/28","PMC6774697","","10.3399/bjgp19X705809"
"31668785","WITHDRAWN: Re: Management of seborrhoeic keratosis and actinic keratosis with an erbium: Yag laser-experience with 547 patients","Sayan A, Ilankovan V.","Int J Oral Maxillofac Surg. 2019 Oct 25:S0901-5027(19)31352-9. doi: 10.1016/j.ijom.2019.10.004. Online ahead of print.","Sayan A","Int J Oral Maxillofac Surg","2019","2019/11/01","","","10.1016/j.ijom.2019.10.004"
