,date_published,authors,journal_title,article_title,all_num_citations_crossref,all_num_references_crossref
0,"[2019, 3]","['Harper, Robert', 'Nevill, Alan', 'Senghore, Ngimbe', 'Khan, Ishfaq']",British Dental Journal,"Socioeconomic and ethnic status of two- and three-year-olds undergoing dental extractions under general anaesthesia in Wolverhampton, 2011-2016",3,22
1,"[2019, 2, 26]","['King, Emma']",Journal of Perioperative Practice,"Preoperative fasting durations for adult elective surgical patients: Convenient for the professional, but detrimental to the patient? A narrative review",1,22
2,"[2019, 1]","['Muhammad, Ali', 'Bielskute, Egidija', 'Guyler, Paul C', 'Grunwald, Iris Q']",BMJ Case Reports,Acute ischaemic stroke-related choreoathetosis treated with arterial thrombectomy,1,20
3,"[2019, 3]","['Goldstein, E.J.', 'Gunson, R.N.']",Journal of Hospital Infection,"In-house validation of the cobas Liat influenza A/B and RSV assay for use with gargles, sputa and endotracheal secretions",4,8
4,"[2019, 1, 17]","['Pathak, Sangeeta', 'Grosu, Liliana']",Ultrasound,Case series of prenatal diagnosis of fetal intrahepatic lesions and postnatal outcome,0,11
5,"[2019, 3]","['Ganau, Mario', 'Ligarotti, Gianfranco K.', 'Apostolopoulos, Vasileios']",Quantitative Imaging in Medicine and Surgery,Real-time intraoperative ultrasound in brain surgery: neuronavigation and use of contrast-enhanced image fusion,18,0
6,"[2019, 3, 2]","['McCann, Peter']",British Journal of Hospital Medicine,The proactive elderly care team: dementia screening of over 20 000 patients,1,13
7,"[2019, 2]","['Bala, Arul', 'Gnanalingham, Sathyan', 'Gnanalingham, Kanna']",BMJ Case Reports,Thrombosis of abdominal aorta precipitating fatal subarachnoid haemorrhage,0,1
8,"[2019, 1, 24]","['Dushianthan, Ahilanandan', 'Cusack, Rebecca', 'Burgess, Victoria A', 'Grocott, Michael PW', 'Calder, Philip C']",Cochrane Database of Systematic Reviews,Immunonutrition for acute respiratory distress syndrome (ARDS) in adults,20,55
9,"[2019, 3]","['Gaze, M.N.']",Clinical Oncology,Good Practice Guide for Paediatric Radiotherapy,2,2
10,"[2019, 2]","['Nagrath, Nalin', 'Durrani, Amer']","Journal of Plastic, Reconstructive &amp; Aesthetic Surgery",Achieving clear margins: Review of techniques to more accurately delineate basal cell carcinoma (BCC) macroscopic border prior to excision biopsy,0,5
11,"[2019, 2]","['Bird, Nicholas', 'McKenna, Adrian', 'Dunne, Declan', 'Francis, Ben', 'Fenwick, Stephen', 'Poston, Graeme', 'Jones, Robert', 'Malik, Hassan']",European Journal of Surgical Oncology,Role of a pre-operative radiological scoring system in determining resectability for potentially resectable hilar cholangiocarcinoma,3,31
12,"[2019, 1]","['Hayes, SM', 'Biggs, TC', 'Bird, JH', 'Hellier, WP']",The Annals of The Royal College of Surgeons of England,Rhabdomyosarcoma of the middle ear cavity presenting with Horner’s syndrome,2,5
13,"[2018, 10, 18]","['Maskell, Peter D.', 'Wilson, Nathan E.', 'Seetohul, L. Nitin', 'Crichton, Megan L.', 'Beer, Lewis J.', 'Drummond, Gail', 'De Paoli, Giorgia']",Drug Testing and Analysis,Postmortem tissue distribution of morphine and its metabolites in a series of heroin-related deaths,13,69
