PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30872305","Neuromyelitis optica spectrum disorders","Huda S, Whittam D, Bhojak M, Chamberlain J, Noonan C, Jacob A.","Clin Med (Lond). 2019 Mar;19(2):169-176. doi: 10.7861/clinmedicine.19-2-169.","Huda S","Clin Med (Lond)","2019","2019/03/16","PMC6454358","","10.7861/clinmedicine.19-2-169"
"30609105","Review of primary and secondary erythromelalgia","Mann N, King T, Murphy R.","Clin Exp Dermatol. 2019 Jul;44(5):477-482. doi: 10.1111/ced.13891. Epub 2019 Jan 4.","Mann N","Clin Exp Dermatol","2019","2019/01/05","","","10.1111/ced.13891"
"31198893","Corneal neovascularization: updates on pathophysiology, investigations & management","Sharif Z, Sharif W.","Rom J Ophthalmol. 2019 Jan-Mar;63(1):15-22.","Sharif Z","Rom J Ophthalmol","2019","2019/06/15","PMC6531773","",""
"30525757","Update on skin directed therapies in mycosis fungoides","Lovgren ML, Scarisbrick JJ.","Chin Clin Oncol. 2019 Feb;8(1):7. doi: 10.21037/cco.2018.11.03. Epub 2018 Nov 28.","Lovgren ML","Chin Clin Oncol","2019","2018/12/12","","","10.21037/cco.2018.11.03"
"30500591","Decompressive Hemicraniectomy in the Treatment of Malignant Middle Cerebral Artery Infarction: A Meta-Analysis","Das S, Mitchell P, Ross N, Whitfield PC.","World Neurosurg. 2019 Mar;123:8-16. doi: 10.1016/j.wneu.2018.11.176. Epub 2018 Nov 27.","Das S","World Neurosurg","2019","2018/12/01","","","10.1016/j.wneu.2018.11.176"
"30657163","Laparoscopic entry techniques","Ahmad G, Baker J, Finnerty J, Phillips K, Watson A.","Cochrane Database Syst Rev. 2019 Jan 18;1(1):CD006583. doi: 10.1002/14651858.CD006583.pub5.","Ahmad G","Cochrane Database Syst Rev","2019","2019/01/19","PMC6353066","","10.1002/14651858.CD006583.pub5"
"30242142","Percutaneous coronary intervention for stable coronary artery disease","Al-Lamee RK, Nowbar AN, Francis DP.","Heart. 2019 Jan;105(1):11-19. doi: 10.1136/heartjnl-2017-312755. Epub 2018 Sep 21.","Al-Lamee RK","Heart","2019","2018/09/23","","","10.1136/heartjnl-2017-312755"
"30888709","Electroconvulsive therapy for treatment-resistant schizophrenia","Sinclair DJ, Zhao S, Qi F, Nyakyoma K, Kwong JS, Adams CE.","Cochrane Database Syst Rev. 2019 Mar 19;3(3):CD011847. doi: 10.1002/14651858.CD011847.pub2.","Sinclair DJ","Cochrane Database Syst Rev","2019","2019/03/20","PMC6424225","","10.1002/14651858.CD011847.pub2"
"30572752","Editorial","Larner AJ.","J Med Biogr. 2019 Feb;27(1):1. doi: 10.1177/0967772018821839. Epub 2018 Dec 20.","Larner AJ","J Med Biogr","2019","2018/12/22","","","10.1177/0967772018821839"
"30651265","Response","Brierley CK, Pavord S.","Clin Med (Lond). 2019 Jan;19(1):91. doi: 10.7861/clinmedicine.19-1-91.","Brierley CK","Clin Med (Lond)","2019","2019/01/18","PMC6399629","","10.7861/clinmedicine.19-1-91"
